parent_child	item_sku	brand	item_name	bullet_point1	bullet_point2	bullet_point3	bullet_point4	bullet_point5	product_description	color_name	size_name
parent	TSHIRT-CLASSIC	My Cool Brand	My Cool Brand Men's Crewneck T-Shirt	Material: 100% Cotton	Fit: Classic Regular Fit	Comfort: Tagless Neck Label	Quality: Durable Double Stitching		This men's t-shirt is a staple item for any wardrobe. It offers a comfortable fit and is made from soft, breathable fabric.		
child	TSHIRT-CLASSIC-RED-S	My Cool Brand	My Cool Brand Men's Crewneck T-Shirt - Red	Material: 100% Cotton	Fit: Classic Regular Fit	Comfort: Tagless Neck Label	Quality: Durable Double Stitching	Color: Red, Size: S	This men's t-shirt is a staple item for any wardrobe. It offers a comfortable fit and is made from soft, breathable fabric.	Red	S
child	TSHIRT-CLASSIC-RED-M	My Cool Brand	My Cool Brand Men's Crewneck T-Shirt - Red	Material: 100% Cotton	Fit: Classic Regular Fit	Comfort: Tagless Neck Label	Quality: Durable Double Stitching	Color: Red, Size: M	This men's t-shirt is a staple item for any wardrobe. It offers a comfortable fit and is made from soft, breathable fabric.	Red	M
child	TSHIRT-CLASSIC-RED-L	My Cool Brand	My Cool Brand Men's Crewneck T-Shirt - Red	Material: 100% Cotton	Fit: Classic Regular Fit	Comfort: Tagless Neck Label	Quality: Durable Double Stitching	Color: Red, Size: L	This men's t-shirt is a staple item for any wardrobe. It offers a comfortable fit and is made from soft, breathable fabric.	Red	L
child	TSHIRT-CLASSIC-ORN-S	My Cool Brand	My Cool Brand Men's Crewneck T-Shirt - Orange	Material: 100% Cotton	Fit: Classic Regular Fit	Comfort: Tagless Neck Label	Quality: Durable Double Stitching	Color: Orange, Size: S	This men's t-shirt is a staple item for any wardrobe. It offers a comfortable fit and is made from soft, breathable fabric.	Orange	S
child	TSHIRT-CLASSIC-ORN-M	My Cool Brand	My Cool Brand Men's Crewneck T-Shirt - Orange	Material: 100% Cotton	Fit: Classic Regular Fit	Comfort: Tagless Neck Label	Quality: Durable Double Stitching	Color: Orange, Size: M	This men's t-shirt is a staple item for any wardrobe. It offers a comfortable fit and is made from soft, breathable fabric.	Orange	M
child	TSHIRT-CLASSIC-ORN-L	My Cool Brand	My Cool Brand Men's Crewneck T-Shirt - Orange	Material: 100% Cotton	Fit: Classic Regular Fit	Comfort: Tagless Neck Label	Quality: Durable Double Stitching	Color: Orange, Size: L	This men's t-shirt is a staple item for any wardrobe. It offers a comfortable fit and is made from soft, breathable fabric.	Orange	L
child	TSHIRT-CLASSIC-YLW-S	My Cool Brand	My Cool Brand Men's Crewneck T-Shirt - Yellow	Material: 100% Cotton	Fit: Classic Regular Fit	Comfort: Tagless Neck Label	Quality: Durable Double Stitching	Color: Yellow, Size: S	This men's t-shirt is a staple item for any wardrobe. It offers a comfortable fit and is made from soft, breathable fabric.	Yellow	S
child	TSHIRT-CLASSIC-YLW-M	My Cool Brand	My Cool Brand Men's Crewneck T-Shirt - Yellow	Material: 100% Cotton	Fit: Classic Regular Fit	Comfort: Tagless Neck Label	Quality: Durable Double Stitching	Color: Yellow, Size: M	This men's t-shirt is a staple item for any wardrobe. It offers a comfortable fit and is made from soft, breathable fabric.	Yellow	M
child	TSHIRT-CLASSIC-YLW-L	My Cool Brand	My Cool Brand Men's Crewneck T-Shirt - Yellow	Material: 100% Cotton	Fit: Classic Regular Fit	Comfort: Tagless Neck Label	Quality: Durable Double Stitching	Color: Yellow, Size: L	This men's t-shirt is a staple item for any wardrobe. It offers a comfortable fit and is made from soft, breathable fabric.	Yellow	L
